sln,add1,add2
324,Vettikavala,Thalachira
325,Kalluvathukkal,Parippally
326,Oachira,Oachira
327,Oachira,Oachira
328,Thevalakkara,Thevalakkara
329,Panmana,chavara
330,Ummannoor,Ummannoor
331,vettikkavala,Thalachira
332,Yeroor,Yeroor
333,Aryankavu,Aryankavu
334,Chavara,Chavara PHC
335,Ummannoor,Ummannoor
336,Elampalloor,Kottamkara
337,Mynagappally,Mynagappally
338,Oachira,Oachira
339,Kundara,Kundara
340,Karunagappally,karunagappally
341,ittiva ,Ittiva
342,Thodiyoor,Thodiyoor
343,Thazhava,Thazhava
344,Karunagappally,Karunagappally
345,East kallada,East Kallada
346,Panmana,chavara
347,Mynagappally,Mynagappally
348,Thodiyoor,Thodiyoor
349,Pattazhy S,Pattazhy S
350,Karunagappally,Mynagappally
351,Kulasekharapuram,Kulasekharapuram
352,Mynagappally,Mynagappally
353,Ummannoor,Ummannoor
354,Sasthamkotta,Sooranad
355,Panmana,chavara
356,veliyom,veliyom
357,Piravanthur,Piravanthur
358,Alayamon,Alayamon
359,Ummannoor,Ummannoor
360,Thodiyoor,Thodiyoor
361,Vallikavu,Vallikavu
362,Kulasekharapuram,Kulasekharapuram
363,Karunagappally,Mynagappally
364,Punalur,Punalur
365,Mynagappally,Mynagappally
366,clappana,vallikavu
367,east kallada,east kallada
368,Perinad,Perinad
369,vilakkudi,vilakkudi
370,Oachira,Oachira
371,Chavara,Chavara
372,Sooranad North,Sooranad North
373,Poruvazhy,Poruvazhy
374,Paravoor,Pozhikkara
375,Thrikadavoor,Thrikadavoor
376,Veliyom,veliyom
377,Kunnathoor,Kunnathoor
378,Thodiyoor,Thodiyoor
379,Karunagappally,Mynagappally
380,clappana,Vallikavu
381,panmana,chavara
382,Karunagappally,Mynagappally
383,Thalavoor,Thalavoor
384,kollam,Palathara
385,Karavaloor,Karavaloor
386,Yeroor,Yeroor
387,Thevalakkara,Thevalakkara
388,clappana,vallikavu
389,clappana,`Vallikavu
390,Mynagappally,Mynagappally
391,Mynagappally,Mynagappally
392,vallikavu,vallikavu
393,kollam,kollam
394,Alappad,Alappad
395,Thenmala,Thenmala
396,Adichanalloor,Adichanalloor
397,kollam,kollam
398,Kottamkara,Kottamkara
399,Paravoor,Pozhikkara
400,Kulasekharapuram,Kulasekharapuram
401,East Kallada,East Kallada
402,Thodiyoor,Thodiyoor
403,Karunagappally,Mynagappally
404,Alayamon,Alayamon
405,Panmana,Chavara
406,Karunagappally,Mynagappally
407,Panmana,chavara
408,Mynagappally,Mynagappally
409,Chavara,Chavara
410,Karunagappally,Mynagappally
411,Adichanalloor,Adichanalloor
412,Kulakkada,Kulakkada
413,Karunagappally,Mynagappally
